hash,framerate,duration,width,height,scene_cuts
38d2a2f27df06c113f30c85e7fe18b45,25,2.24,1920,1080,0
0b6a4a69036183cd3439096ed0ed54b8,25,2.56,1920,1080,0
ba12754597b3a458f7c0e6b21a4dd44b,25,2.64,1920,1080,0
5ced4102806ff0845bcd6d8acd6255ce,25,2.08,1920,1080,0
6d27ad37eb0df552602db2402dc84d99,25,3.04,1920,1080,0
6cbd52b91647728e6ae9d6b09610f870,25,2.56,1920,1080,0
c8652ba1b0f0c55323d26e9e41b39c73,25,1.8,1920,1080,0
b965d845c1c6f9d192497b09a8fac9bf,25,1.68,1920,1080,0
f7102a506d2bf471806775e5f0829e06,25,1.92,1920,1080,0
1dd3933665cb048e059cc987599feeb8,25,2.2,1920,1080,0
1b1c724ea209a67cbcd3534c2d3f3b96,25,2.56,1920,1080,0
ec8e5a39baf1027ba83ab57492c6b4bb,25,2.52,1920,1080,0
0c9ec600bbd6915ad9f34a8be8a5dae4,25,1.88,1920,1080,0
b7244348d4e7e6198af97e289929ff03,25,1.92,1920,1080,0
f3c84238d90a2d8d463365ffee214189,25,1.84,1920,1080,0
5c5d6578a5d7ae11544f2252e4b76ddf,25,2.24,1920,1080,0
08639207b4a1c292a9fc01ebbf1d3fe5,25,1.88,1920,1080,0
71c6cdc7954baed928246638b3cb4f62,25,2.0,1920,1080,0
e16abcad97f75127ed281ea079841e1f,25,2.24,1920,1080,0
7a172d8ec2caab651ad7b70649ef231b,25,2.6,1920,1080,0
74d56011e80f7367a4d2387abb924c0c,25,2.28,1920,1080,0
1fe12eb459752703db7860e8ab1a5dee,25,2.24,1920,1080,0
853557f493c0a4d7547c63e23ddb6ab0,25,1.88,1920,1080,0
e1c3a88f18c7b1663de4dff40d6e36d3,25,1.96,1920,1080,0
8798e2e01b130d7f87be3dcc75a536f3,25,2.16,1920,1080,0
c4e5e62d55037b425126a4921c71d280,25,2.76,1920,1080,0
a03f5d7b1bcc2485c3deb96d54b24edf,25,2.52,1920,1080,0
42aba8fa067d36f34d4116aaee680412,25,2.28,1920,1080,0
280f79037cd7616dbf4f0f2d226e331b,25,2.32,1920,1080,0
589974a04e5e4d4db51f006fdaa7d848,25,1.88,1920,1080,0
b65db385ff73571a1bd6cf4f0833a623,25,2.68,1920,1080,0
7ff50f5f82b11e7589574546bf599859,25,2.32,1920,1080,0
c4d88fd1562cfe70b7a9d1c26cd877a3,25,2.44,1920,1080,0
fddddd6ba130625f9af0172ced520e7b,25,2.6,1920,1080,0
3345680746d233d234732c6400820829,25,2.56,1920,1080,0
2c1115a16c76bc068c68c88b9facf315,25,2.36,1920,1080,0
89b91acf690a5e4ebb3c071adc863d69,25,2.48,1920,1080,0
c77596e0bbea00d74eebc6319842aae1,25,2.4,1920,1080,0
f355eda0b9c0a2a5d9536a6994d14d72,25,2.8,1920,1080,0
